"","TG_T10i","TG_T11i","TG_T12r","TG_T13i","TG_T14r","TG_T15r","TG_T17r","TG_T18i","TG_T19r","TG_T1r","TG_T20i","TG_T2i","TG_T3r","TG_T4i","TG_T6i","TG_T8i","TG_T9r"
"1911",0.329372411214073,NA,0.927074925010379,NA,0.853340045939398,1.09100689048404,NA,NA,1.15881648789286,1.21280020197557,NA,0.800851403485433,NA,NA,1.16765829319148,0.996547030113882,NA
"1912",0.950046334260751,NA,1.12455408118067,NA,0.984896636355055,0.846510479837625,NA,NA,1.41216238285653,1.03184271152208,NA,0.589197818278569,NA,NA,0.978870727824703,0.91636508516219,NA
"1913",1.58477358174474,NA,1.17927172939454,NA,0.970674302256065,1.03990006491267,NA,NA,1.55740634668768,1.27055259254584,NA,0.606358919781828,NA,NA,0.892956974878078,0.748364819549122,NA
"1914",1.6775410645712,NA,1.13540284055775,NA,0.89245146471162,0.748913157639406,NA,NA,1.41253479805957,1.16274813014801,NA,0.657842224291606,NA,NA,1.1399782691662,1.13781998074305,NA
"1915",1.73921957732947,NA,1.23998654981382,NA,0.82133979421667,0.962725784665441,NA,NA,1.44238667124017,0.916337930381545,NA,0.79513103631768,NA,NA,1.30379670542855,1.40891131843687,NA
"1916",1.52421639924675,NA,1.13142652459353,NA,0.750228123721721,0.438481694743339,NA,NA,1.29662876292013,0.927888408495598,NA,0.62924038845284,NA,NA,1.32338691691472,1.49672963909824,NA
"1917",1.20852535828264,NA,1.00469461252164,NA,0.700449954375256,0.211483226024447,NA,NA,1.25577359845317,0.796982989869663,NA,0.70360516163363,NA,NA,1.08656445159466,1.16072910787211,NA
"1918",0.870284714359397,NA,0.978034932805775,NA,0.657782952078286,0.325775280186875,NA,NA,1.27682387175762,0.97409032095181,NA,0.55487561527205,NA,NA,0.943990251524046,1.01563796938809,NA
"1919",0.86672456595217,NA,0.847874221063217,NA,0.650671785028791,0.35968428102351,0.703920233651556,NA,1.08545022236166,0.86243569918263,NA,0.423307170413729,NA,NA,0.643367551587361,0.87054683090408,NA
"1920",0.815664919304855,NA,0.826331150965584,NA,0.586671281583336,0.470353471560881,0.771664391509666,NA,1.02546680615083,1.00104143655127,NA,0.411866436078223,NA,NA,0.930339493696444,0.977456090839669,NA
"1921",0.764318460195925,NA,0.958514785175305,NA,0.451559107642931,0.480191323460644,1.14393074569296,NA,1.27799124527512,1.01644207403667,NA,0.354662764400692,NA,NA,0.984663991542882,0.927819648726717,NA
"1922",0.60184521428905,NA,0.649912062735041,NA,0.689783203801013,0.445017509072588,0.817604533110998,0.825726854383929,0.993384490278333,0.843184902325875,NA,0.634960755620593,NA,NA,1.04449599080917,0.763637570968492,NA
"1923",0.734885147139402,NA,0.910021478452332,NA,0.458670274692426,0.552251141284179,1.0873367098573,1.11597184365459,1.24488186342341,0.847035061697226,NA,0.526273779433285,NA,NA,1.11503301966197,0.744546631694279,NA
"1924",0.460578027294437,NA,0.723692091485385,NA,0.554671029860609,0.523615236601633,0.670090400384535,0.782564712098091,0.923717950188867,0.808533467983716,NA,0.371823865903951,NA,NA,1.04684161519533,0.355091470500349,NA
"1925",0.386940284903493,1.02660633377875,0.85397596613206,NA,0.327113684276769,0.619826041377591,1.09957327910877,0.694813431264077,0.977813799214721,0.86243569918263,NA,0.38898496740721,NA,0.761421786425617,1.31973784117918,0.717819316710382,NA
"1926",0.419224018602386,0.97263722871407,0.889430131702194,NA,0.398225354771719,0.690892136127887,1.27041894056795,0.951942887353965,1.18514739587448,0.831634424211822,NA,0.371823865903951,NA,0.843327715642715,1.34528854267897,0.782728510242704,NA
"1927",0.318736618827549,0.910821356651957,0.958265778486454,NA,0.451559107642931,0.676003095827525,1.50322884266099,1.06681672286018,0.774009920317074,0.877836336668034,NA,0.331781295729679,NA,0.855461927378581,1.03217834431628,0.748364819549122,NA
"1928",0.2871457545731,1.10571577305831,0.960001867620476,NA,0.419558855920204,0.647387920317203,1.48893062968206,1.02757625112046,0.954441789652613,0.777732193012908,NA,0.394705334574963,NA,0.837260609774782,1.06209946136746,0.790364885952389,NA
"1929",0.329987109036458,0.737052932228375,0.877316259046384,NA,0.337780434851012,0.244611993911983,1.01694342362276,0.861197350285912,0.801100046362169,0.469719443304825,NA,0.31462019422642,NA,0.691650068944385,0.834933024174654,0.607091868919951,NA
"1930",0.383535355053372,0.706420529498494,0.877038340208848,NA,0.376891853623234,0.547725753041255,0.766113329590195,0.849967291976136,0.706896822244881,0.677628049357781,NA,0.360383131568445,NA,0.621878351463153,0.764211712576998,0.675819250307115,0.708229118419021
